Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
0,3,1,22,1,0,7.25,0,0,1
1,1,0,38,1,0,71.28,1,0,0
1,3,0,26,0,0,7.92,0,0,1
1,1,0,35,1,0,53.1,0,0,1
0,3,1,35,0,0,8.05,0,0,1
0,3,1,28,0,0,8.46,0,1,0
0,1,1,54,0,0,51.86,0,0,1
0,3,1,2,3,1,21.08,0,0,1
1,3,0,27,0,2,11.13,0,0,1
1,2,0,14,1,0,30.07,1,0,0
1,3,0,4,1,1,16.7,0,0,1
1,1,0,58,0,0,26.55,0,0,1
0,3,1,20,0,0,8.05,0,0,1
0,3,1,39,1,5,31.28,0,0,1
0,3,0,14,0,0,7.85,0,0,1
1,2,0,55,0,0,16.0,0,0,1
0,3,1,2,4,1,29.12,0,1,0
1,2,1,28,0,0,13.0,0,0,1
0,3,0,31,1,0,18.0,0,0,1
1,3,0,28,0,0,7.22,1,0,0
0,2,1,35,0,0,26.0,0,0,1
1,2,1,34,0,0,13.0,0,0,1
1,3,0,15,0,0,8.03,0,1,0
1,1,1,28,0,0,35.5,0,0,1
0,3,0,8,3,1,21.08,0,0,1
1,3,0,38,1,5,31.39,0,0,1
0,3,1,28,0,0,7.22,1,0,0
0,1,1,19,3,2,263.0,0,0,1
1,3,0,28,0,0,7.88,0,1,0
0,3,1,28,0,0,7.9,0,0,1
0,1,1,40,0,0,27.72,1,0,0
1,1,0,28,1,0,146.52,1,0,0
1,3,0,28,0,0,7.75,0,1,0
0,2,1,66,0,0,10.5,0,0,1
0,1,1,28,1,0,82.17,1,0,0
0,1,1,42,1,0,52.0,0,0,1
1,3,1,28,0,0,7.23,1,0,0
0,3,1,21,0,0,8.05,0,0,1
0,3,0,18,2,0,18.0,0,0,1
1,3,0,14,1,0,11.24,1,0,0
0,3,0,40,1,0,9.48,0,0,1
0,2,0,27,1,0,21.0,0,0,1
0,3,1,28,0,0,7.9,1,0,0
1,2,0,3,1,2,41.58,1,0,0
1,3,0,19,0,0,7.88,0,1,0
0,3,1,28,0,0,8.05,0,0,1
0,3,1,28,1,0,15.5,0,1,0
1,3,0,28,0,0,7.75,0,1,0
0,3,1,28,2,0,21.68,1,0,0
0,3,0,18,1,0,17.8,0,0,1
0,3,1,7,4,1,39.69,0,0,1
0,3,1,21,0,0,7.8,0,0,1
1,1,0,49,1,0,76.73,1,0,0
1,2,0,29,1,0,26.0,0,0,1
0,1,1,65,0,1,61.98,1,0,0
1,1,1,28,0,0,35.5,0,0,1
1,2,0,21,0,0,10.5,0,0,1
0,3,1,28,0,0,7.23,1,0,0
1,2,0,5,1,2,27.75,0,0,1
0,3,1,11,5,2,46.9,0,0,1
0,3,1,22,0,0,7.23,1,0,0
0,1,1,45,1,0,83.48,0,0,1
0,3,1,4,3,2,27.9,0,0,1
0,1,1,28,0,0,27.72,1,0,0
1,3,1,28,1,1,15.25,1,0,0
1,2,0,29,0,0,10.5,0,0,1
0,3,1,19,0,0,8.16,0,0,1
1,3,0,17,4,2,7.92,0,0,1
0,3,1,26,2,0,8.66,0,0,1
0,2,1,32,0,0,10.5,0,0,1
0,3,0,16,5,2,46.9,0,0,1
0,2,1,21,0,0,73.5,0,0,1
0,3,1,26,1,0,14.45,1,0,0
1,3,1,32,0,0,56.5,0,0,1
0,3,1,25,0,0,7.65,0,0,1
0,3,1,28,0,0,7.9,0,0,1
0,3,1,28,0,0,8.05,0,0,1
1,2,1,0,0,2,29.0,0,0,1
1,3,0,30,0,0,12.48,0,0,1
0,3,1,22,0,0,9.0,0,0,1
1,3,1,29,0,0,9.5,0,0,1
1,3,0,28,0,0,7.79,0,1,0
0,1,1,28,0,0,47.1,0,0,1
1,2,0,17,0,0,10.5,0,0,1
1,3,0,33,3,0,15.85,0,0,1
0,3,1,16,1,3,34.38,0,0,1
0,3,1,28,0,0,8.05,0,0,1
1,1,0,23,3,2,263.0,0,0,1
0,3,1,24,0,0,8.05,0,0,1
0,3,1,29,0,0,8.05,0,0,1
0,3,1,20,0,0,7.85,0,0,1
0,1,1,46,1,0,61.18,0,0,1
0,3,1,26,1,2,20.58,0,0,1
0,3,1,59,0,0,7.25,0,0,1
0,3,1,28,0,0,8.05,0,0,1
0,1,1,71,0,0,34.65,1,0,0
1,1,1,23,0,1,63.36,1,0,0
1,2,0,34,0,1,23.0,0,0,1
0,2,1,34,1,0,26.0,0,0,1
0,3,0,28,0,0,7.9,0,0,1
0,3,1,28,0,0,7.9,0,0,1
0,1,1,21,0,1,77.29,0,0,1
0,3,1,33,0,0,8.65,0,0,1
0,3,1,37,2,0,7.92,0,0,1
0,3,1,28,0,0,7.9,0,0,1
1,3,0,21,0,0,7.65,0,0,1
1,3,1,28,0,0,7.78,0,0,1
0,3,1,38,0,0,7.9,0,0,1
1,3,0,28,1,0,24.15,0,1,0
0,1,1,47,0,0,52.0,0,0,1
0,3,0,14,1,0,14.45,1,0,0
0,3,1,22,0,0,8.05,0,0,1
0,3,0,20,1,0,9.82,0,0,1
0,3,0,17,0,0,14.46,1,0,0
0,3,1,21,0,0,7.92,0,0,1
0,3,1,70,0,0,7.75,0,1,0
0,2,1,29,1,0,21.0,0,0,1
0,1,1,24,0,1,247.52,1,0,0
0,3,0,2,4,2,31.28,0,0,1
0,2,1,21,2,0,73.5,0,0,1
0,3,1,28,0,0,8.05,0,0,1
0,2,1,32,1,0,30.07,1,0,0
1,2,0,32,0,0,13.0,0,0,1
0,1,1,54,0,1,77.29,0,0,1
1,3,1,12,1,0,11.24,1,0,0
0,3,1,28,0,0,7.75,0,1,0
1,3,1,24,0,0,7.14,0,0,1
1,3,0,28,1,1,22.36,1,0,0
0,3,1,45,0,0,6.98,0,0,1
0,3,1,33,0,0,7.9,1,0,0
0,3,1,20,0,0,7.05,0,0,1
0,3,0,47,1,0,14.5,0,0,1
1,2,0,29,1,0,26.0,0,0,1
0,2,1,25,0,0,13.0,0,0,1
0,2,1,23,0,0,15.05,1,0,0
1,1,0,19,0,2,26.28,0,0,1
0,1,1,37,1,0,53.1,0,0,1
0,3,1,16,0,0,9.22,0,0,1
0,1,1,24,0,0,79.2,1,0,0
0,3,0,28,0,2,15.25,1,0,0
1,3,0,22,0,0,7.75,0,0,1
1,3,0,24,1,0,15.85,0,0,1
0,3,1,19,0,0,6.75,0,1,0
0,2,1,18,0,0,11.5,0,0,1
0,2,1,19,1,1,36.75,0,0,1
1,3,1,27,0,0,7.8,0,0,1
0,3,0,9,2,2,34.38,0,0,1
0,2,1,36,0,2,26.0,0,0,1
0,2,1,42,0,0,13.0,0,0,1
0,2,1,51,0,0,12.52,0,0,1
1,1,0,22,1,0,66.6,0,0,1
0,3,1,55,0,0,8.05,0,0,1
0,3,1,40,0,2,14.5,0,0,1
0,3,1,28,0,0,7.31,0,0,1
0,1,1,51,0,1,61.38,1,0,0
1,3,0,16,0,0,7.73,0,1,0
0,3,1,30,0,0,8.05,0,0,1
0,3,1,28,0,0,8.66,0,0,1
0,3,1,28,8,2,69.55,0,0,1
0,3,1,44,0,1,16.1,0,0,1
1,2,0,40,0,0,15.75,0,0,1
0,3,1,26,0,0,7.78,0,0,1
0,3,1,17,0,0,8.66,0,0,1
0,3,1,1,4,1,39.69,0,0,1
1,3,1,9,0,2,20.52,0,0,1
1,1,0,28,0,1,55.0,0,0,1
0,3,0,45,1,4,27.9,0,0,1
0,1,1,28,0,0,25.92,0,0,1
0,3,1,28,0,0,56.5,0,0,1
0,1,1,61,0,0,33.5,0,0,1
0,3,1,4,4,1,29.12,0,1,0
1,3,0,1,1,1,11.13,0,0,1
0,3,1,21,0,0,7.92,0,0,1
0,1,1,56,0,0,30.7,1,0,0
0,3,1,18,1,1,7.85,0,0,1
0,3,1,28,3,1,25.47,0,0,1
0,1,0,50,0,0,28.71,1,0,0
0,2,1,30,0,0,13.0,0,0,1
0,3,1,36,0,0,0.0,0,0,1
0,3,0,28,8,2,69.55,0,0,1
0,2,1,28,0,0,15.05,1,0,0
0,3,1,9,4,2,31.39,0,0,1
1,2,1,1,2,1,39.0,0,0,1
1,3,0,4,0,2,22.02,0,0,1
0,1,1,28,0,0,50.0,0,0,1
1,3,0,28,1,0,15.5,0,1,0
1,1,1,45,0,0,26.55,0,0,1
0,3,1,40,1,1,15.5,0,1,0
0,3,1,36,0,0,7.9,0,0,1
1,2,0,32,0,0,13.0,0,0,1
0,2,1,19,0,0,13.0,0,0,1
1,3,0,19,1,0,7.85,0,0,1
1,2,1,3,1,1,26.0,0,0,1
1,1,0,44,0,0,27.72,1,0,0
1,1,0,58,0,0,146.52,1,0,0
0,3,1,28,0,0,7.75,0,1,0
0,3,1,42,0,1,8.4,0,0,1
1,3,0,28,0,0,7.75,0,1,0
0,2,0,24,0,0,13.0,0,0,1
0,3,1,28,0,0,9.5,0,0,1
0,3,1,28,8,2,69.55,0,0,1
0,3,1,34,0,0,6.5,0,0,1
0,3,1,45,0,0,7.22,1,0,0
1,3,1,18,0,0,8.05,0,0,1
0,3,0,2,0,1,10.46,0,0,1
0,3,1,32,1,0,15.85,0,0,1
1,3,1,26,0,0,18.79,1,0,0
1,3,0,16,0,0,7.75,0,1,0
1,1,1,40,0,0,31.0,1,0,0
0,3,1,24,0,0,7.05,0,0,1
1,2,0,35,0,0,21.0,0,0,1
0,3,1,22,0,0,7.25,0,0,1
0,2,1,30,0,0,13.0,0,0,1
0,3,1,28,1,0,7.75,0,1,0
1,1,0,31,1,0,113.28,1,0,0
1,3,0,27,0,0,7.92,0,0,1
0,2,1,42,1,0,27.0,0,0,1
1,1,0,32,0,0,76.29,1,0,0
0,2,1,30,0,0,10.5,0,0,1
1,3,1,16,0,0,8.05,0,0,1
0,2,1,27,0,0,13.0,0,0,1
0,3,1,51,0,0,8.05,0,0,1
0,3,1,28,0,0,7.9,0,0,1
1,1,1,38,1,0,90.0,0,0,1
0,3,1,22,0,0,9.35,0,0,1
1,2,1,19,0,0,10.5,0,0,1
0,3,1,20,0,0,7.25,0,0,1
0,2,1,18,0,0,13.0,0,0,1
0,3,0,28,3,1,25.47,0,0,1
1,1,0,35,1,0,83.48,0,0,1
0,3,1,29,0,0,7.78,0,0,1
0,2,1,59,0,0,13.5,0,0,1
1,3,0,5,4,2,31.39,0,0,1
0,2,1,24,0,0,10.5,0,0,1
0,3,0,28,0,0,7.55,0,0,1
0,2,1,44,1,0,26.0,0,0,1
1,2,0,8,0,2,26.25,0,0,1
0,2,1,19,0,0,10.5,0,0,1
0,2,1,33,0,0,12.28,0,0,1
0,3,0,28,1,0,14.45,1,0,0
1,3,0,28,1,0,15.5,0,1,0
0,2,1,29,0,0,10.5,0,0,1
0,3,1,22,0,0,7.12,0,0,1
0,3,1,30,0,0,7.22,1,0,0
0,1,1,44,2,0,90.0,0,1,0
0,3,0,25,0,0,7.78,0,0,1
1,2,0,24,0,2,14.5,0,0,1
1,1,1,37,1,1,52.55,0,0,1
0,2,1,54,1,0,26.0,0,0,1
0,3,1,28,0,0,7.25,0,0,1
0,3,0,29,1,1,10.46,0,0,1
0,1,1,62,0,0,26.55,0,0,1
0,3,1,30,1,0,16.1,0,0,1
0,3,0,41,0,2,20.21,0,0,1
1,3,0,29,0,2,15.25,1,0,0
1,1,0,28,0,0,79.2,1,0,0
1,1,0,30,0,0,86.5,0,0,1
1,1,0,35,0,0,512.33,1,0,0
1,2,0,50,0,1,26.0,0,0,1
0,3,1,28,0,0,7.75,0,1,0
1,3,1,3,4,2,31.39,0,0,1
0,1,1,52,1,1,79.65,0,0,1
0,1,1,40,0,0,0.0,0,0,1
0,3,0,28,0,0,7.75,0,1,0
0,2,1,36,0,0,10.5,0,0,1
0,3,1,16,4,1,39.69,0,0,1
1,3,1,25,1,0,7.78,0,0,1
